Customer Business Plan: Plan #,Customer Account: Account Name,Customer Account: Zip/Postal Code,Customer Account: Address 1,Customer Account: D&B Address line 1,Customer Business Plan: Created Date,Created Quarter,Customer Business Plan: Last Modified Date,Year,Plan Status,Was the plan originally Approved?,Customer Account: Is Direct Reseller,Customer Account: Is Direct Service Provider,Customer Account: Is Distributor Account,Customer Account: Is Aggregator,Customer Account: Is Services Only,Customer Account: Is Cloud,Customer Account: Is Resell,Customer Account: Is Subscriptions Eligible,Customer Account: Cloud Eligible,Customer Account: Cloud Activated,Define Customer’s marketing capability,Define Customer’s pre-sales scalability,Customer Account: Managed Customer,Managed Customer,Plan End Date,Executive Sponspor Present  Present,Quarter,Region,Geo,Skip Customer Approval,Total # of Employees,KPI Compliant,KPI Compliant Failure Reason,Place Country
CP-0000037961,ABC123,100000,"Số nhà 17E, Tổ 12A, Phường Thượng Đình, Quận Thanh Xuân, TP. Hà Nội","Số Nhà 17E, Tổ 12A, Phường Thượng Đình, Quận Thanh Xuân, Tp. Hà Nội",11/03/2022,Q1,13/04/2022,2023,Submitted to Customer,0,0,0,0,0,0,0,1,1,0,0,3 Customer has integrated marketing function; runs adhoc Planet Rocks LTD. campaigns,3 Customer pre-­sales could scale up and there is a strong desire to do so,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,40,1,,VIETNAM
CP-0000037955,ABC300,84,"22nd Floor, Keangnam Landmark 72 Tower E6,,",E6 Pham Hung Street,11/03/2022,Q1,13/04/2022,2023,Approved,1,0,0,0,0,0,0,1,1,0,0,4 Customer has integrated marketing function; runs regular Planet Rocks LTD. campaigns with limited results,4 Customer pre-­sales is currently scaling up,No,0,03/02/2023,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,2510,1,,VIETNAM
CP-0000038896,ABC432,700000,"Tuoi Tre Tower, No. 60A, Hoang Van Thu St","Tuoi Tre Tower, No. 60A, Hoang Van Thu St., Ward 9, Phu Nhuan Dist.",31/03/2022,Q1,21/08/2022,2023,Approved,1,0,0,1,0,0,0,0,1,0,1,4 Customer has integrated marketing function; runs regular Planet Rocks LTD. campaigns with limited results,3 Customer pre-­sales could scale up and there is a strong desire to do so,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,91,0,Goals and Objectives- Min. 1 Goal Required,VIETNAM
CP-0000037959,ABC472,10000,"18A - Cong Hoa Street, Ward 12, Tan Binh District",15 Duy Tan Dich Vong Hau,11/03/2022,Q1,29/04/2022,2023,Approved,1,0,0,0,0,0,0,1,0,0,1,3 Customer has integrated marketing function; runs adhoc Planet Rocks LTD. campaigns,3 Customer pre-­sales could scale up and there is a strong desire to do so,No,0,03/02/2023,0,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,80,1,,VIETNAM
CP-0000026118,ABC555,0,"2nd floor, 2B1 Dam Trau, Bach Dang Ward,","7 A2 Dam Trau, Bach Dang Ward Hai Ba Trung",20/04/2021,Q2,02/03/2022,2022,Approved,1,0,0,0,0,0,0,1,0,0,0,3 Customer has integrated marketing function; runs adhoc Planet Rocks LTD. campaigns,4 Customer pre-­sales is currently scaling up,No,0,28/01/2022,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,150,0,Goals and Objectives- Min. 1 Goal Required; Planner- Incomplete Planned Total FY >1,VIETNAM
CP-0000026046,ABC683,84,"22nd Floor, Keangnam Landmark 72 Tower E6,,",E6 Pham Hung Street,14/04/2021,Q2,02/03/2022,2022,Approved,1,0,0,0,0,0,0,1,1,0,0,4 Customer has integrated marketing function; runs regular Planet Rocks LTD. campaigns with limited results,4 Customer pre-­sales is currently scaling up,No,0,28/01/2022,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,2510,1,,VIETNAM
CP-0000026048,ABC734,700000,"2A Phan Thuc Duyen Street, Ward 4,","2A Phan Thuc Duyen Street, Ward 4, Tan Binh District, Ho Chi Minh City",14/04/2021,Q2,02/03/2022,2022,Approved,1,0,0,0,0,0,0,1,1,1,1,3 Customer has integrated marketing function; runs adhoc Planet Rocks LTD. campaigns,5 Customer pre-­sales is already very scalable,No,0,28/01/2022,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,110,1,,VIETNAM
CP-0000024101,ABC1038,700000,"Tuoi Tre Tower, No. 60A, Hoang Van Thu St","Tuoi Tre Tower, No. 60A, Hoang Van Thu St., Ward 9, Phu Nhuan Dist.",16/12/2020,Q4,21/08/2022,2022,Draft,0,0,0,1,0,0,0,0,1,0,1,4 Customer has integrated marketing function; runs regular Planet Rocks LTD. campaigns with limited results,3 Customer pre-­sales could scale up and there is a strong desire to do so,Yes,1,28/01/2022,0,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,91,0,,VIETNAM
CP-0000037956,ABC1052,100000,"Floor 16, CMC Tower, Duy Tan Street",Duy Tan Street,11/03/2022,Q1,29/04/2022,2023,Approved,1,0,0,0,0,0,0,1,1,1,1,5 Customer runs business outcome marketing campaigns that generate revenue,4 Customer pre-­sales is currently scaling up,No,0,03/02/2023,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,788,1,,VIETNAM
CP-0000026047,ABC1074,10000,"18A - Cong Hoa Street, Ward 12, Tan Binh District",15 Duy Tan Dich Vong Hau,14/04/2021,Q2,02/03/2022,2022,Submitted to Customer,0,0,0,0,0,0,0,1,0,0,1,3 Customer has integrated marketing function; runs adhoc Planet Rocks LTD. campaigns,3 Customer pre-­sales could scale up and there is a strong desire to do so,No,0,28/01/2022,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,80,1,,VIETNAM
CP-0000026017,ABC1220,100000,"Floor 16, CMC Tower, Duy Tan Street",Duy Tan Street,13/04/2021,Q2,22/03/2022,2022,Submitted to Customer,0,0,0,0,0,0,0,1,1,1,1,5 Customer runs business outcome marketing campaigns that generate revenue,4 Customer pre-­sales is currently scaling up,No,0,28/01/2022,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,788,1,,VIETNAM
CP-0000037958,ABC1376,700000,"2A Phan Thuc Duyen Street, Ward 4,","2A Phan Thuc Duyen Street, Ward 4, Tan Binh District, Ho Chi Minh City",11/03/2022,Q1,13/04/2022,2023,Approved,1,0,0,0,0,0,0,1,1,1,1,3 Customer has integrated marketing function; runs adhoc Planet Rocks LTD. campaigns,5 Customer pre-­sales is already very scalable,No,0,03/02/2023,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,110,1,,VIETNAM
CP-0000024092,ABC1552,700000,289/1 UNG VAN KHIEM,"289/1 Ung Van Khiem Street,",16/12/2020,Q4,21/08/2022,2022,Pending Internal Approval,0,0,0,1,1,0,0,0,1,0,0,4 Customer has integrated marketing function; runs regular Planet Rocks LTD. campaigns with limited results,4 Customer pre-­sales is currently scaling up,Yes,1,28/01/2022,0,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,107,0,Goals and Objectives- Min. 1 Goal Required,VIETNAM
CP-0000026049,ABC1574,10000,"33 Vu Ngoc Phan Str,",33 Vu Ngoc Phan St,14/04/2021,Q2,26/04/2022,2022,Approved,1,0,0,0,0,0,0,1,0,0,0,3 Customer has integrated marketing function; runs adhoc Planet Rocks LTD. campaigns,4 Customer pre-­sales is currently scaling up,No,0,28/01/2022,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,68,1,,VIETNAM
CP-0000037558,ABC1629,10000,"5th Floor, Building Indochina Plaza Hanoi,","5Th Floor, Building Indochina Plaza Hanoi, No. 241 Xuan Thuy, Cau Giay District, Hanoi",02/03/2022,Q1,13/04/2022,2023,Approved,1,0,0,0,0,0,0,1,1,0,1,3 Customer has integrated marketing function; runs adhoc Planet Rocks LTD. campaigns,4 Customer pre-­sales is currently scaling up,No,0,03/02/2023,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,59,1,,VIETNAM
CP-0000038871,ABC1658,700000,289/1 UNG VAN KHIEM,"289/1 Ung Van Khiem Street,",31/03/2022,Q1,21/08/2022,2023,Approved,1,0,0,1,1,0,0,0,1,0,0,4 Customer has integrated marketing function; runs regular Planet Rocks LTD. campaigns with limited results,4 Customer pre-­sales is currently scaling up,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,107,0,Goals and Objectives- Min. 1 Goal Required,VIETNAM
CP-0000026011,ABC1674,10000,"5th Floor, Building Indochina Plaza Hanoi,","5Th Floor, Building Indochina Plaza Hanoi, No. 241 Xuan Thuy, Cau Giay District, Hanoi",13/04/2021,Q2,02/03/2022,2022,Approved,1,0,0,0,0,0,0,1,1,0,1,3 Customer has integrated marketing function; runs adhoc Planet Rocks LTD. campaigns,4 Customer pre-­sales is currently scaling up,No,0,28/01/2022,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,59,1,,VIETNAM
CP-0000039255,ABC1900,10000,"33 Vu Ngoc Phan Str,",33 Vu Ngoc Phan St,26/04/2022,Q2,13/06/2022,2023,Approved,1,0,0,0,0,0,0,1,0,0,0,3 Customer has integrated marketing function; runs adhoc Planet Rocks LTD. campaigns,4 Customer pre-­sales is currently scaling up,No,0,03/02/2023,1,"Q1,Q2,Q3,Q4",SEAK-CHANNEL,APAC,0,68,1,,VIETNAM
CP-0000038935,ABC363,11200,"Canelones 1567,",Canelones 1567,04/04/2022,Q2,30/06/2022,2023,Approved,1,0,0,0,0,0,1,1,1,1,1,2 Customer has integrated marketing function; does NOT run Planet Rocks LTD. campaigns,3 Customer pre-­sales could scale up and there is a strong desire to do so,No,0,03/02/2023,1,"Q1,Q2,Q3,Q4",LATAM,AMER,0,51,1,,URUGUAY
CP-0000038920,ABC1544,11100,"Julio Herrera y Obes 1626,",Julio Herrera Y Obes 1626,01/04/2022,Q2,30/06/2022,2023,Submitted to Customer,0,0,0,0,0,0,0,1,0,1,1,5 Customer runs business outcome marketing campaigns that generate revenue,4 Customer pre-­sales is currently scaling up,No,0,03/02/2023,1,"Q1,Q2,Q3,Q4",LATAM,AMER,0,44,1,,URUGUAY
CP-0000026095,ABC1808,11100,"Julio Herrera y Obes 1626,",Julio Herrera Y Obes 1626,16/04/2021,Q2,04/04/2022,2022,Submitted to Customer,0,0,0,0,0,0,0,1,0,1,1,5 Customer runs business outcome marketing campaigns that generate revenue,4 Customer pre-­sales is currently scaling up,No,0,28/01/2022,1,"Q1,Q2,Q3,Q4",LATAM,AMER,0,44,1,,URUGUAY
CP-0000026094,ABC1810,11200,"Canelones 1567,",Canelones 1567,16/04/2021,Q2,11/04/2022,2022,Submitted to Customer,0,0,0,0,0,0,1,1,1,1,1,2 Customer has integrated marketing function; does NOT run Planet Rocks LTD. campaigns,3 Customer pre-­sales could scale up and there is a strong desire to do so,No,1,28/01/2022,1,"Q1,Q2,Q3,Q4",LATAM,AMER,0,51,0,Goals and Objectives- Min. 1 Goal Required,URUGUAY
CP-0000039211,ABC125,8873,290 Davidson Ave.,290 Davidson Avenue,14/04/2022,Q2,14/04/2022,2023,Draft,0,0,0,0,1,0,0,1,1,1,1,5 Customer runs business outcome marketing campaigns that generate revenue,4 Customer pre-­sales is currently scaling up,Yes,1,03/02/2023,0,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,4925,0,,UNITED STATES
CP-0000025635,ABC135,53186,"20875 Crossroads Circle Suite 1,",,16/03/2021,Q1,02/03/2022,2022,Approved,1,0,0,0,0,0,0,1,1,1,1,3 Customer has integrated marketing function; runs adhoc Planet Rocks LTD. campaigns,2 Customer pre-­sales could scale up but there is limited desire to do so,Yes,1,28/01/2022,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,336,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000038979,ABC170,77041,"5355 W, Sam Houston Pkwy N.Suite 390",,05/04/2022,Q2,30/06/2022,2023,Submitted to Customer,0,0,0,0,0,0,0,1,1,1,1,5 Customer runs business outcome marketing campaigns that generate revenue,5 Customer pre-­sales is already very scalable,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,175,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000037770,ABC182,20190,11493 Sunset Hills Road,11493 Sunset Hills Rd Ste 100,09/03/2022,Q1,14/04/2022,2023,Approved,1,0,0,1,1,0,0,0,1,1,1,5 Customer runs business outcome marketing campaigns that generate revenue,4 Customer pre-­sales is currently scaling up,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,1901,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000036808,ABC185,7608,696 US Highway 46,696 Us Highway 46,01/02/2022,Q1,19/07/2022,2023,Submitted to Customer,0,0,0,0,0,0,1,1,1,1,1,5 Customer runs business outcome marketing campaigns that generate revenue,5 Customer pre-­sales is already very scalable,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,577,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000039232,ABC199,99201,Headquarters,,21/04/2022,Q2,13/06/2022,2023,Approved,1,0,0,0,0,0,0,1,1,0,1,,,Yes,1,03/02/2023,0,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,191,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000040693,ABC252,44131,"6100 Rockside Woods Blvd N,",6100 Rockside Woods Blvd N Ste 100,16/05/2022,Q2,18/05/2022,2023,Approved,1,0,0,0,0,0,1,1,1,0,1,5 Customer runs business outcome marketing campaigns that generate revenue,3 Customer pre-­sales could scale up and there is a strong desire to do so,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,200,0,Planner- Incomplete Planned Total FY >1,UNITED STATES
CP-0000039080,ABC304,77027,2500 West Loop South,,07/04/2022,Q2,13/04/2022,2023,Submitted to Customer,0,0,0,0,0,0,0,1,1,0,0,,,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,92,1,,UNITED STATES
CP-0000039085,ABC305,60101-3029,313 S ROHLWING RD,,07/04/2022,Q2,21/06/2022,2023,Approved,1,0,0,0,0,0,1,1,1,0,1,,,Yes,1,03/02/2023,0,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,237,1,,UNITED STATES
CP-0000039086,ABC306,68154,12120 Shamrock Plaza,,07/04/2022,Q2,21/06/2022,2023,Submitted to Customer,0,0,0,0,0,0,0,1,0,0,0,,,Yes,1,03/02/2023,0,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,0,1,,UNITED STATES
CP-0000025693,ABC314,99503,3201 C St Suite 404,3201 C Street,19/03/2021,Q1,02/03/2022,2022,Approved,1,0,0,0,0,0,0,1,1,1,1,,,Yes,1,28/01/2022,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,0,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000036809,ABC321,10017,"747 Third Ave, NY",,01/02/2022,Q1,30/06/2022,2023,Approved,1,0,0,0,0,0,0,1,0,0,0,5 Customer runs business outcome marketing campaigns that generate revenue,5 Customer pre-­sales is already very scalable,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,12,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000026162,ABC336,92618,"7565 Irvine Center Drive, Suite 200",7565 Irvine Center Dr Ste 200,05/05/2021,Q2,08/04/2022,2022,Draft,0,0,0,0,0,0,1,1,1,1,1,5 Customer runs business outcome marketing campaigns that generate revenue,4 Customer pre-­sales is currently scaling up,Yes,1,28/01/2022,0,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,608,0,,UNITED STATES
CP-0000039088,ABC342,3079,43 Northwestern Drive,43 Northwestern Dr,07/04/2022,Q2,21/06/2022,2023,Submitted to Customer,0,0,0,0,0,0,0,1,1,1,1,,,Yes,1,03/02/2023,0,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,0,0,Goals and Objectives- Min. 1 Goal Required; Planner- Incomplete Planned Total FY >1,UNITED STATES
CP-0000039084,ABC343,57049,303 Centennial Dr,PO Box 1995,07/04/2022,Q2,21/06/2022,2023,Approved,1,0,0,0,0,0,0,1,1,0,1,5 Customer runs business outcome marketing campaigns that generate revenue,5 Customer pre-­sales is already very scalable,Yes,1,03/02/2023,0,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,220,1,,UNITED STATES
CP-0000025948,ABC351,3054,"Route 101A, 730 Milford Road,",730 Milford Rd,02/04/2021,Q2,08/07/2022,2022,Approved,1,0,0,0,0,0,0,1,1,1,1,5 Customer runs business outcome marketing campaigns that generate revenue,3 Customer pre-­sales could scale up and there is a strong desire to do so,Yes,1,28/01/2022,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,2200,1,,UNITED STATES
CP-0000038951,ABC416,92612,3351 Michelson Drive,3351 Michelson Dr,04/04/2022,Q2,20/07/2022,2023,Approved,1,0,0,1,1,0,1,0,1,1,1,5 Customer runs business outcome marketing campaigns that generate revenue,5 Customer pre-­sales is already very scalable,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,6270,1,,UNITED STATES
CP-0000039134,ABC421,92618,"100 Spectrum Center Drive,",100 Spectrum Center Dr Ste 700,09/04/2022,Q2,15/08/2022,2023,Submitted to Customer,0,0,0,0,0,0,1,1,1,1,1,2 Customer has integrated marketing function; does NOT run Planet Rocks LTD. campaigns,4 Customer pre-­sales is currently scaling up,Yes,1,03/02/2023,0,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,244,1,,UNITED STATES
CP-0000026171,ABC434,30071-1572,4920 Avalon Ridge Parkway,150 Bainbridge Trl,11/05/2021,Q2,21/06/2022,2022,Submitted to Customer,0,0,0,0,0,0,0,1,1,0,0,,,No,0,28/01/2022,0,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,0,0,Goals and Objectives- Min. 1 Goal Required; Planner- Incomplete Planned Total FY >1,UNITED STATES
CP-0000039029,ABC443,37091,104 Belfast Avenue,1600 N Country Club Rd,06/04/2022,Q2,13/04/2022,2023,Submitted to Customer,0,0,0,0,0,0,0,1,1,1,1,4 Customer has integrated marketing function; runs regular Planet Rocks LTD. campaigns with limited results,3 Customer pre-­sales could scale up and there is a strong desire to do so,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,53,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000039030,ABC480,83642,1111 South Silverstone Way,1041 E Tuweep St,06/04/2022,Q2,25/04/2022,2023,Approved,1,0,0,0,0,0,0,1,1,1,1,3 Customer has integrated marketing function; runs adhoc Planet Rocks LTD. campaigns,4 Customer pre-­sales is currently scaling up,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,324,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000039033,ABC483,99503,3201 C St Suite 404,3201 C Street,06/04/2022,Q2,29/06/2022,2023,Approved,1,0,0,0,0,0,0,1,1,1,1,5 Customer runs business outcome marketing campaigns that generate revenue,5 Customer pre-­sales is already very scalable,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,0,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000039036,ABC484,92626,611 Anton Blvd,611 Anton Blvd,06/04/2022,Q2,27/06/2022,2023,Approved,0,0,0,0,0,0,1,1,1,1,1,5 Customer runs business outcome marketing campaigns that generate revenue,5 Customer pre-­sales is already very scalable,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,88,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000039032,ABC485,94520,1855 Gateway Blvd.,1855 Gateway Blvd Ste 730,06/04/2022,Q2,30/04/2022,2023,Approved,1,0,0,0,0,0,0,1,1,0,1,4 Customer has integrated marketing function; runs regular Planet Rocks LTD. campaigns with limited results,4 Customer pre-­sales is currently scaling up,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,115,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000024320,ABC539,30092,6025 The Corners Parkway,5 Penn Plz Bsmt 2b,19/01/2021,Q1,19/05/2022,2022,Draft,0,0,0,0,0,0,0,1,1,1,1,3 Customer has integrated marketing function; runs adhoc Planet Rocks LTD. campaigns,4 Customer pre-­sales is currently scaling up,Yes,1,28/01/2022,0,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,0,0,,UNITED STATES
CP-0000026117,ABC556,44131,"6100 Rockside Woods Blvd N,",6100 Rockside Woods Blvd N Ste 100,20/04/2021,Q2,31/03/2022,2022,Approved,1,0,0,0,0,0,1,1,1,0,1,5 Customer runs business outcome marketing campaigns that generate revenue,3 Customer pre-­sales could scale up and there is a strong desire to do so,Yes,1,28/01/2022,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,200,1,,UNITED STATES
CP-0000039031,ABC587,23060,"4501 Highwoods Pkwy, Suite 460",2640 Mclean Cir,06/04/2022,Q2,14/04/2022,2023,Approved,1,0,0,0,0,0,0,1,1,1,1,4 Customer has integrated marketing function; runs regular Planet Rocks LTD. campaigns with limited results,5 Customer pre-­sales is already very scalable,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,55,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000022794,ABC596,30075-5625,1905 Woodstock Road,,07/12/2020,Q4,02/03/2022,2022,Approved,1,0,0,0,0,0,0,1,1,0,0,,,Yes,1,28/01/2022,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,100,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000039027,ABC604,78759,11824 Jollyville Rd.,11824 Jollyville Rd Ste 400,06/04/2022,Q2,19/04/2022,2023,Approved,1,0,0,0,0,0,0,1,1,1,1,5 Customer runs business outcome marketing campaigns that generate revenue,5 Customer pre-­sales is already very scalable,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,29,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000039058,ABC633,60611,401 N Michigan Ave,401 N Michigan Ave Ste 3400,07/04/2022,Q2,29/06/2022,2023,Submitted to Customer,0,0,0,0,0,0,1,1,1,1,1,3 Customer has integrated marketing function; runs adhoc Planet Rocks LTD. campaigns,5 Customer pre-­sales is already very scalable,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,1165,1,,UNITED STATES
CP-0000024704,ABC637,78759,11824 Jollyville Rd.,11824 Jollyville Rd Ste 400,15/02/2021,Q1,02/03/2022,2022,Draft,0,0,0,0,0,0,0,1,1,1,1,5 Customer runs business outcome marketing campaigns that generate revenue,5 Customer pre-­sales is already very scalable,Yes,1,28/01/2022,0,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,29,0,,UNITED STATES
CP-0000024703,ABC638,77041,"5355 W, Sam Houston Pkwy N.Suite 390",,15/02/2021,Q1,24/05/2022,2022,Draft,0,0,0,0,0,0,0,1,1,1,1,5 Customer runs business outcome marketing campaigns that generate revenue,5 Customer pre-­sales is already very scalable,Yes,1,28/01/2022,0,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,175,0,,UNITED STATES
CP-0000039028,ABC640,92653,22892 Mill Creek Drive,4 Venture Ste 305,06/04/2022,Q2,30/06/2022,2023,Approved,1,0,0,0,0,0,0,1,1,0,1,5 Customer runs business outcome marketing campaigns that generate revenue,5 Customer pre-­sales is already very scalable,Yes,1,03/02/2023,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,27,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000039125,ABC648,30309,1430 W,,08/04/2022,Q2,21/06/2022,2023,Submitted to Customer,0,0,0,0,0,0,1,1,0,0,1,,,Yes,1,03/02/2023,0,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,135,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000039129,ABC667,32317,1700 Summit Lake Drive,,08/04/2022,Q2,21/06/2022,2023,Approved,1,0,0,0,0,0,0,1,1,0,0,,,Yes,1,03/02/2023,0,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,400,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000039123,ABC672,3743,"21 Water St., Suite 500",21 Water St Ste 500,08/04/2022,Q2,21/06/2022,2023,Approved,1,0,0,0,0,0,0,1,1,1,1,,,Yes,1,03/02/2023,0,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,797,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000039131,ABC673,92618,"7565 Irvine Center Drive, Suite 200",7565 Irvine Center Dr Ste 200,08/04/2022,Q2,15/08/2022,2023,Approved,1,0,0,0,0,0,1,1,1,1,1,5 Customer runs business outcome marketing campaigns that generate revenue,5 Customer pre-­sales is already very scalable,Yes,1,03/02/2023,0,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,1206,1,,UNITED STATES
CP-0000039122,ABC674,19422,518 Township Line Road,1314 Edwards Dr,08/04/2022,Q2,21/06/2022,2023,Submitted to Customer,0,0,0,0,0,0,1,1,1,1,1,5 Customer runs business outcome marketing campaigns that generate revenue,5 Customer pre-­sales is already very scalable,Yes,1,03/02/2023,0,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,92,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000039124,ABC675,35209,201 Summit Parkway,201 Summit Pkwy,08/04/2022,Q2,13/04/2022,2023,Submitted to Customer,0,0,0,0,0,0,1,1,1,1,1,,,Yes,1,03/02/2023,0,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,100,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000037235,ABC682,80202,"1125 17th Street, Suite 1700",6130 Sprint Pkwy Ste 400,15/02/2022,Q1,21/06/2022,2023,Approved,1,0,0,0,0,0,0,1,1,1,0,3 Customer has integrated marketing function; runs adhoc Planet Rocks LTD. campaigns,4 Customer pre-­sales is currently scaling up,Yes,1,03/02/2023,0,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,0,0,Goals and Objectives- Min. 1 Goal Required,UNITED STATES
CP-0000039081,ABC693,63146,1 World Wide Way,1 World Wide Way,07/04/2022,Q2,01/08/2022,2023,Approved,1,0,0,0,0,0,1,1,1,1,1,5 Customer runs business outcome marketing campaigns that generate revenue,5 Customer pre-­sales is already very scalable,Yes,1,03/02/2023,0,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,7000,1,,UNITED STATES
CP-0000024915,ABC695,10119,One Penn Plaza,2700 International Pkwy,17/02/2021,Q1,27/04/2022,2022,Approved,1,0,0,0,0,0,1,1,1,1,1,1 Customer has limited marketing capability,5 Customer pre-­sales is already very scalable,Yes,1,28/01/2022,1,"Q1,Q2,Q3,Q4",NORTH AMERICA,AMER,0,2370,1,,UNITED STATES
